"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1915546182244","60.4943013132645","73.64193366184","73.2366865749403","96.2642503200628","261.612061392773","251.817223496653","240.50652593913","224.483831176276","222.947559917923","273.046357883998","250.701996221984","161.129060938826","196.364237744868","272.496033970682","249.717777131219","180.543884892087","220.12714206744","315.181749811983","373.441994247363","389.297235023042","395.114291817987","417.712657712658","176.096579476861","69.3947183921479","435.219125328659","135.503631254133","64.1462633629085","60.7674619439174","58.9871131174761","56.9772716336007","","",
"Afghanistan","AFG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","25.4752050325286","27.6923073559639","31.8292676457466","25.9615356964045","23.4999986944445","19.370861483049","13.9285717602041","11.474103006619","13.543688991658","14.7634065907711","11.4358472703868","13.161423148605","17.9247919850871","18.1730776453403","21.9432995572431","23.9577469962706","21.599999906087","21.4672680092128","21.6969689810428","24.3108298247178","41.4913453439416","45.4181180712707","","","","","","","","","","","","","","","","","","","","","62.9319026501711","49.716941038328","47.4862591646659","45.98060246292","45.3287911056852","35.6590132745165","35.2153843761935","30.0584759711474","34.950801758031","38.7041755787309","47.4861636197375","44.1076608238416","40.5128208836589","41.6635031845278","36.8234867008891","41.4030176399907","42.7723648729128",
"Angola","AGO","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","54.1438016804674","63.3818710415065","45.3113717081833","48.4929866825898","53.6412521457781","48.2686280164143","34.1908702154996","42.9373448100652","44.3367420961312","42.6718727376007","48.8744756703386","44.8613415476191","69.1277162932291","90.5746789257369","100.758822592538","92.2590960553569","94.7990515839151","99.4197800338891","86.409492737499","134.34265432221","120.06009267421","108.694390515385","79.0809918468255","84.1421881311598","81.9758705776817","87.804147535713","77.58537380498","88.9538164685344","95.8858500765238","90.3008977727419","80.2653986241368","78.3059714796182","74.0397400781428","69.1815484569558","60.221450099446","46.3657010568937","40.1784540065196","40.1862626490206","54.4354254237326",
"Albania","ALB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0806269877495","30.7133758527178","30.0706845948746","46.3822302501318","93.6865118387259","58.5498138229765","39.5544484763165","38.2820735054822","35.7852469887692","34.7573422336983","40.6132482137577","46.4179558570768","38.8466098066159","41.6613605058461","42.4096192090386","41.2011615352209","40.5585138483673","40.6851617596383","43.3449634831921","49.3194852730076","51.283430704485","46.8357899480391","49.8953915000379","56.9938402643654","55.6016201847074","56.6205456970948","57.9139436323958","54.8874822475244","55.9042477278114","58.3106620592916","58.5501744497256",
"Andorra","AND","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.3596111637688","","","","",
"Arab World","ARB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","48.38801709186","45.6958550556144","36.5750809863414","42.6169798546862","40.5526440063251","37.660815646952","38.9931247078749","36.1130753433667","40.7738973862364","40.771632983742","40.3161723142797","43.2157266789272","43.8164152251546","50.5649834801823","71.9275637486637","67.666225543975","65.6881717786694","66.977904357909","65.0524394377231","67.9420048346585","73.2555007884742","74.7604438744725","67.885079767211","58.6020886853044","54.2157313471848","48.8005520569013","40.8259760800865","41.8020298422741","47.4509671067548","50.4857063576174","40.1521486885359","54.6064038498085","56.1334159136729","53.9523729803502","54.2379459095132","57.0154844655347","58.8777692655344","56.8105847156379","51.5098329422002","50.4496364222482","56.3132655247277","55.6307173209292","58.2559566136291","62.767881948472","71.6145358860916","76.2600417642682","76.3108040598319","80.3615217203177","85.6333526625325","75.1209391010122","76.1473402794792","81.4503870700423","83.2982503392064","82.1260357138747","76.530255079828","69.2785241174164","64.5817942599061","68.3269354642294","71.5971754748005",
"United Arab Emirates","ARE","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","67.5716411434843","66.9962254611526","59.0669540182526","60.9736817287948","66.0294448034781","70.4515636174662","64.9174480820307","60.5284308684678","58.8599156118143","56.0563185363279","57.4554254776728","50.2657170142929","53.8849778017354","56.6826129400457","66.5766374541776","68.524675889859","74.0647837757863","77.7408624291856","83.8001929480901","82.9237367311411","79.3110617580642","92.2874285396919","94.534420803129","87.7774464402657","80.7562531035773","81.3169797927339","82.9596737846984","86.3397191916687","95.868509422724","110.319428147766","111.806186267179","110.592393496322","127.465077750457","139.326582257953","142.743746883399","138.218599306174","151.702461172787","164.514536768618","165.285955069904","153.56091014582","157.342875998574","158.523406708723","152.127000079003","144.502775016567",
"Argentina","ARG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","10.5232570436585","12.8392300921298","9.71285209107025","9.49736435145393","9.48988805048387","10.5579218347993","9.5964508044544","10.1995488156995","10.9770038885701","10.8370480999795","11.0730427565048","10.4598050924408","10.4449704660806","13.1734899234731","13.5803555141901","17.2839505865567","17.6196527004725","20.9523639411004","24.1184199893939","23.6066921871369","15.3746725069663","11.8677688070133","16.0471345766615","13.8096132232416","10.4349917948954","10.9606853147716","11.4550072026123","17.9835044908018","11.6227270539489","10.6752064512818","11.8480544755874","12.6306426385834","14.44453076445","15.9240093515624","17.4804496421547","19.4018281835286","19.3495027985613","17.2264683993891","18.1190431160743","17.4408510709564","35.4467669076716","34.0160118326352","34.629974908102","34.7393625713073","34.7002711144739","34.9475958389525","35.258516452524","28.36776900922","29.5023394337096","29.8719291780486","27.0990432264413","27.2460417167365","25.4864119079835","19.6703052646326","20.4045915355847","19.5352120473962","24.5070576478845",
"Armenia","ARM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7098160987014","34.1293177877649","46.3822361349606","64.3593838863221","71.7609460316281","68.6187983110639","59.3010678787434","55.9203448494024","61.5203156082188","57.4471764388922","62.7857591464102","70.0376655125462","57.9877862332958","56.6476282534663","49.7615174487907","48.0105925684554","47.0157850973408","46.6122743200947","51.7694653264099","54.0222821392664","53.1201618765719","53.563083541182","50.9926646425299","44.7630896156366","48.027072696697","55.8145575914343","59.3175151794118",
"American Samoa","ASM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170.038910505837","203.225806451613","202.1484375","174.950298210736","202.620967741935","152.115384615385","160.746003552398","142.477876106195","118.229166666667","112.369337979094","127.018633540373","135.257410296412","148.833592534992","159.45537065053","162.787136294028","159.621451104101","",
